OBJECTID,NEW_KEY,LAKE_NAME,COUNTY,NOTE24,FMU,ORIGIN,LONG_DD,LAT_DD,X_Coord_MG,Y_Coord_MG,,,
68,21-356,Greens Lake,Delta,,LMN,1,-86.79454000000,46.04665000000,438368.73634000000,610840.65113000000,,,
69,21-360,Bishop Lake,Delta,,LMN,1,-86.81927000000,46.01276000000,436417.43529000000,607094.82501000000,,,
70,21-365,Peterson Lake,Delta,,LMN,1,-86.85454000000,45.99110000000,433660.84128000000,604716.20475000000,,,
71,21-367,Ramsey Lake,Delta,,LMN,1,-86.75788000000,45.99110000000,441146.80342000000,604640.64113000000,,,
72,21-391,Foote Lake,Delta,,LMN,1,-86.49204000000,46.15638000000,461846.54400000000,622843.15053000000,,,
73,21-392,Forty Pond,Delta,,LMN,1,-86.49899000000,46.15415000000,461308.76478000000,622599.58882000000,,,
74,21-395,Pot Lake,Delta,,LMN,1,-86.49447000000,46.14436000000,461651.06702000000,621509.50479000000,,,
75,2-14,Turtle Lake,Alger,,LMN,1,-86.67228000000,46.24606000000,448014.29047000000,632909.56248000000,,,
76,21-4,Henderson Lakes,Delta,,LMN,1,-87.22204000000,45.60749000000,404549.66567000000,562468.95005000000,,,
77,21-400,Mowe Lake,Delta,,LMN,1,-86.57954000000,46.14499000000,455081.30945000000,621623.00390000000,,,
78,21-402,Pike Lake,Delta,,LMN,1,-86.60399000000,46.15554000000,453202.34015000000,622809.82030000000,,,
79,75-543,Deep Lake,Schoolcraft,nk changed 4/9/2003,LMN,1,-86.60602000000,46.16500000000,453053.63751000000,623861.65294000000,,,
80,21-404,Hugoboom Lake,Delta,,LMN,1,-86.60565000000,46.15026000000,453069.18281000000,622224.37300000000,,,
81,21-412,No Name Lake,Delta,,LMN,1,-86.49471000000,46.14651000000,461633.46298000000,621748.30637000000,,,
82,21-413,Chamberlain Lake,Delta,,LMN,1,-86.49232000000,46.13388000000,461809.70329000000,620343.36172000000,,,
83,21-414,Norway Lake,Delta,,LMN,1,-86.50843000000,46.13110000000,460563.26707000000,620042.48617000000,,,
84,21-417,Jackpine Lake,Delta,,LMN,1,-86.52121000000,46.11638000000,459565.54195000000,618413.12048000000,,,
