UNIQUE_ID,NEW_KEY,IHDLKID
2,42-288,114548715
11,,114548741
19,,114548747
26,,114548765
3,42-290,-99
28,42-291,114548775
36,,114548779
38,,114548781
50,,114548791
45,,114548797
43,,114548805
54,,114548807
64,,114548827
78,,114548845
88,42-321,114548861
89,42-336,114548871
105,,114548883
103,42-339,114548891
116,,114548921
117,,114548923
130,,114548931
139,,114548947
147,42-202,114548965
143,,114548975
168,,114548983
170,,114548991
182,,114548993
179,,114548999
215,,114549079
239,,114549101
224,,114549103
218,,114549107
236,,114549111
234,,114549121
240,,114549123
248,,114549131
253,,114549137
262,,114549169
296,,114549181
301,,114549191
308,42-166,114549211
310,,114549219
319,,114549237
322,,114549245
327,,114549253
46,,114548809
49,,114548817
57,,114548823
82,,114548847
68,,114548849
79,,114548855
87,,114548857
67,42-311,114548863
98,,114548875
110,,114548903
119,,114548905
108,42-338,114548907
132,42-324,114548913
122,,114548925
138,42-356,114548929
123,,114548933
146,42-177,114548941
160,42-175,114548953
189,,114549001
199,,114549039
231,,114549087
252,42-360,114549127
246,,114549129
255,,114549143
271,,114549171
69881,42-165,114549183
69882,42-242,114549183
287,,114549189
277,,114549193
302,42-362,114549195
312,42-169,114549223
316,,114549229
317,,114549233
324,,114549243
9,42-359,114548727
12,,114548735
25,,114548757
37,,114548783
40,42-303,114548801
63,,114548821
101,,114548877
107,,114548893
128,,114548897
114,,114548899
112,,114548917
140,,114548959
180,,114548981
173,,114548989
159,,114549007
163,42-207,114549023
178,,114549031
184,,114549043
219,,114549059
208,,114549073
230,,114549089
229,,114549095
235,,114549099
226,,114549109
216,,114549117
238,,114549119
244,,114549125
227,42-265,114549135
247,,114549139
265,,114549165
281,,114549175
290,,114549201
314,,114549225
315,42-173,114549227
20,,114548745
17,,114548751
21,,114548759
30,,114548767
51,,114548795
70,,114548833
65,,114548841
96,42-318,114548869
99,,114548887
124,,114548895
113,,114548901
158,42-179,114548967
153,,114548969
192,,114548997
202,,114549045
222,,114549065
198,,114549071
232,,114549093
256,,114549163
300,,114549205
298,42-167,114549207
306,,114549213
309,,114549215
323,,114549247
325,42-161,114549249
330,42-361,114549259
1,,114548711
13,,114548755
27,,114548773
48,,114548813
59,,114548819
86,,114548867
97,,114548873
106,,114548881
115,,114548889
118,,114548915
152,42-358,114548971
174,,114548973
144,,114548977
157,,114549005
196,,114549017
171,,114549019
213,,114549081
242,,114549113
268,42-247,114549149
259,,114549167
284,,114549177
307,,114549209
318,42-154,114549235
329,,114549257
5,42-289,114548725
7,,114548729
10,42-357,114548733
16,,114548739
18,,114548749
23,,114548763
31,,114548771
41,,114548785
35,,114548787
44,,114548789
42,,114548803
55,,114548815
62,,114548831
66,,114548843
127,,114548927
121,42-205,114548943
151,,114548945
134,42-204,114548949
154,,114548995
169,,114549009
194,,114549011
164,,114549013
167,,114549029
195,,114549037
220,42-189,114549055
191,,114549057
257,,114549141
279,42-252,114549153
285,,114549155
275,,114549157
286,,114549159
243,,114549161
311,,114549217
326,,114549251
70153,1-52,122383358
338,42-151,116542233
353,42-86,116542245
331,42-150,116542215
337,42-146,116542223
614,,-99
643,,-99
652,31-1192,116542577
679,,-99
351,42-66,116542229
434,42-33,116542403
403,42-74,116542315
339,42-93,116542239
419,42-64,116542321
444,42-36,116542415
70671,55-2,70485
-62982,39-315,62982
70480,66-560,70480
621,31-1182,621
629,,-99
651,,-99
639,,-99
641,,-99
-70639,41-181,70639
70673,34-32,70673
70670,34-58,70670
70484,29-101,70484
70669,55-41,70669
43643,77-196.1,43643
908,,116542667
921,,-99
1209,,-99
1232,31-1070,116542783
1233,,-99
1263,,-99
1306,,-99
1382,,116543011
1784,,105231521
1737,,117625665
1750,,-99
868,,-99
872,,-99
876,,-99
877,,-99
878,,-99
890,,116542663
897,,-99
1155,,116542791
1225,,116542917
1255,,116542937
1305,,116542987
1375,,116543025
1439,,116543113
1459,,116543225
1165,,116542801
1334,,116542959
1304,,116543067
1530,,116543289
1669,,116543423
1841,,105231449
1823,,105231473
1220,,116542869
1355,,116542993
1361,,116543075
1609,,116543321
1724,,105231439
1482,,-99
1537,31-825,117625661
1676,,-99
1709,,-99
1754,,-99
1776,,-99
1836,,-99
1082,,116542785
1313,,116543013
1340,,116543119
1464,,116543217
1615,,117625627
1593,,116543241
1528,,116543295
1713,,116543319
1806,,105231463
840,,-99
851,,116542649
1257,,-99
1300,,-99
1308,31-1068,116542807
1410,,-99
1455,,-99
1483,,-99
1177,,116542821
1219,,116542889
1462,,116543091
1685,,116543353
1815,,-99
1818,,-99
1835,31-942,116543387
1770,,116543399
1797,,105231461
1416,,-99
1476,,-99
1577,,117625621
1234,,116542907
1373,,116543031
1432,,116543095
1499,,116543173
1518,,116543203
1488,,116543209
1589,,116543287
1584,,116543293
1622,,116543315
1802,,105231555
1519,31-1267,116543081
1529,,-99
1559,,-99
1435,,116543239
1587,,116543279
1024,,116542733
1052,,116542765
1146,,116542859
1319,,116542999
