Water_Body_Key,Survey_Number,Collection_Date,Survey_Purpose,SP,LENGTH_IN,AGE,METHOD,Water_Body_Name,New_Key
05S02E1002,3326,5/8/02,Status & Trends,BLG,7.3,7,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,5.7,7,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,7.1,7,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,6.8,7,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,6.6,7,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,6.5,7,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,7.3,8,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,7,8,SCALE,Killarney Lake,46-77
05S13W07,3407,6/26/02,Status & Trends,BLG,1.5,0,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,2.1,1,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,1.5,1,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,2,1,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,1.6,1,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,1.6,1,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,1.5,1,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,1.5,1,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,2.7,2,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,2.9,2,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,2.5,2,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,2.9,2,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,2.7,2,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,2.9,2,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,2.8,2,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,2.7,2,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,4.2,3,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,4.4,3,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,4.8,3,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,5,3,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,5.3,3,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,4.3,3,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,4.1,3,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,4,3,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,3.5,3,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,3.8,3,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,4.8,3,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,4.4,3,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,3.8,3,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,4.5,3,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,3.6,3,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,3.9,3,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,4.3,3,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,3.7,3,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,3.3,3,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,3.4,3,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,3.7,3,,Finch Lake,14-8
05S13W07,3407,6/26/02,Status & Trends,BLG,3.9,3,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,5.1,4,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,5.2,4,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,5.1,4,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,5,4,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,5.2,4,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,6.8,5,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,7.5,5,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,7.2,5,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,7.9,5,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,7.3,5,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,7,5,,Finch Lake,14-8
05S13W07,3407,5/17/02,Status & Trends,BLG,6.9,5,,Finch Lake,14-8
05S13W07,3407,5/17/02,Status & Trends,BLG,6.8,5,,Finch Lake,14-8
05S13W07,3407,5/17/02,Status & Trends,BLG,6,5,,Finch Lake,14-8
05S13W07,3407,5/17/02,Status & Trends,BLG,5.8,5,,Finch Lake,14-8
05S13W07,3407,5/17/02,Status & Trends,BLG,6.1,5,,Finch Lake,14-8
05S13W07,3407,5/17/02,Status & Trends,BLG,6.4,5,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,6.8,5,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,5.9,5,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,6.3,5,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,6.3,5,,Finch Lake,14-8
05S13W07,3407,5/17/66,Status & Trends,BLG,5.8,5,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,8.1,6,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,8.2,6,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,7.7,6,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,8.2,6,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,8.6,6,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,8.1,6,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,8.4,6,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,7.6,6,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,7.8,6,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,7,6,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,8.1,6,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,7.9,6,,Finch Lake,14-8
05S13W07,3407,5/17/02,Status & Trends,BLG,8,6,,Finch Lake,14-8
05S13W07,3407,5/17/02,Status & Trends,BLG,6.9,6,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,8.7,7,,Finch Lake,14-8
05S13W07,3407,5/16/02,Status & Trends,BLG,8.8,7,,Finch Lake,14-8
05S13W07,3407,5/17/02,Status & Trends,BLG,9.5,9,,Finch Lake,14-8
12699,3408,6/25/02,Status & Trends,BLG,1.8,1,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,2.1,1,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,1.5,1,,Thompson Lake,78-151
